recipe_type,recipe_name,servings,calories,description,ingredients,recipe_method,picture_url
"""breakfast""","""Breakfast Stuffed Peppers""",4,422,"""Kick-start your weekend with these breakfast stuffed peppers filled with eggs, hearty beans, kale and taco seasoning. If the pepper isn’t laying flat when you are about to fill it, shave off a small piece from the back side (but not all the way through) to help the filling stay in place.""","[""4 large red bell peppers"", ""Cooking spray"", ""3/4 teaspoon salt"", ""2 teaspoons extra-virgin olive oil"", ""1 yellow onion, finely chopped"", ""1 plum tomato, chopped"", ""3 cups stemmed and chopped kale"", ""1 (15-ounce) can no-salt-added black beans, rinsed"", ""1 tablespoon salt-free taco seasoning mix (such as Mrs. Dash)"", ""6 large eggs, beaten"", ""1 cup shredded Mexican cheese blend"", ""Crushed red pepper for garnish (optional)""]","[""Preheat oven to 425°F. Cut bell peppers in half lengthwise, keeping stems intact. Remove and discard ribs and seeds,. Lightly coat a 13-by-9-inch baking dish with cooking spray. Arrange the pepper halves cut-side up in the dish; sprinkle with 1/4 teaspoon salt. Lightly coat the peppers with cooking spray. Bake until tender-crisp, about 15 minutes. Remove from oven; reduce oven temperature to 400°F."",""Meanwhile, heat oil in a large skillet over medium-high heat until shimmering. Add onion; cook, stirring often, until translucent, 4 to 5 minutes. Stir in tomato; cook, stirring occasionally, until the tomato turns soft and jammy, 3 to 4 minutes. Stir in kale; cook, stirring occasionally, until wilted, about 2 minutes. Stir in beans, taco seasoning and the remaining 1/2 teaspoon salt; gently stir to combine. Remove from heat."",""Divide beaten eggs among the pepper halves. Spoon about 1/2 cup bean mixture into each pepper half; top with cheese. Bake until the peppers are tender, the eggs are set and the cheese is melted, 20 to 25 minutes. Sprinkle with crushed red pepper, if desired.""]",b1
"""breakfast""","""Cauliflower Steaks with Poached Eggs & Pesto Hollandaise""",4,431,"""This weekend-worthy dish features cauliflower “steaks” flavored with Italian seasoning and topped with sautéed kale, a poached egg and pesto-flavored hollandaise.""","[""Cooking spray"", ""2 medium heads cauliflower (about 2 lbs. each), leaves removed and stems trimmed"", ""1 teaspoon Italian seasoning"", ""1/4 teaspoon salt"", ""3 large egg yolks"", ""1 tablespoon white-wine vinegar"", ""3 tablespoons refrigerated basil pesto"", ""1/4 cup unsalted butter, cubed"", ""2 tablespoons white-wine vinegar"", ""4 large eggs"", ""2 tablespoons unsalted butter"", ""2 medium cloves garlic, chopped"", ""1 (8-ounce) bunch curly kale, stemmed and chopped (5 packed cups)"", ""1/4 teaspoon crushed red pepper"", ""1/4 teaspoon salt""]","[""Position oven rack in upper third; preheat to 425°F. Line a large rimmed baking sheet with foil; coat with cooking spray."", ""Cut cauliflower heads in half lengthwise; trim the sides to create 2 (1-inch-thick) 'steaks' from each head. Arrange the cauliflower steaks on the prepared baking sheet; reserve trimmed florets for another use."", ""Coat the cauliflower with cooking spray. Sprinkle both sides with Italian seasoning and salt. Roast, flipping once, until browned and tender, 30 to 35 minutes."", ""Place egg yolks in a blender. Secure the lid on the blender and remove the center piece; place a clean towel over the opening. Process until light in color, about 30 seconds."", ""With the blender running on low speed, slowly pour 1 tablespoon vinegar through the opening; process until blended, 10 to 15 seconds. Add pesto; process until completely blended, about 30 seconds."", ""Place cubed butter in a glass measuring cup; microwave on High in 20-second intervals until melted, about 2 (20-second) intervals."", ""With the blender running on low speed, slowly pour the melted butter through the lid opening; process until the butter is incorporated and the mixture looks thick, 45 seconds to 1 minute. Transfer to a microwaveable bowl."", ""Pour water into a deep medium skillet to a depth of 2 inches; bring to a simmer over medium-high heat. Stir in vinegar."", ""Reduce heat to medium-low and create a whirlpool using a spoon; crack eggs, 1 at a time, into the center of the whirlpool. Simmer until the whites are set and the yolks are runny, about 4 minutes."", ""With a slotted spoon, transfer the poached eggs to a paper-towel-lined plate to drain. Carefully drain the pan and wipe it clean."", ""In the dry skillet, melt butter over medium-high heat. Add garlic; cook, stirring constantly, until fragrant, about 1 minute."", ""Add kale; cook, stirring constantly, until tender-crisp and wilted, about 3 minutes. Remove from heat."", ""Divide the kale among 4 plates; top each with 1 cauliflower steak, 1 poached egg and about 2 tablespoons hollandaise. Sprinkle with crushed red pepper and salt.""]",b2
"""breakfast""","""Huevos Divorciados (Divorced Eggs)""",1,520,"""For those mornings when choosing between red or green salsa feels impossible, enter huevos divorciados, the ultimate solution. This dish, from our Senior Nutrition & News Editor at EatingWell, hails from Mexico and boasts a unique twist. It features two sunny-side-up eggs nestled on tortillas, each yolk surrounded by its own salsa. Typically served with a side of beans, it’s a delicious breakfast that celebrates the best of both worlds.""","[""1/2 cup no-salt-added canned black beans, rinsed"", ""2 tablespoons water"", ""1/2 teaspoon garlic powder"", ""1/4 teaspoon onion powder"", ""1 teaspoon extra-virgin olive oil"", ""2 large eggs"", ""1/8 teaspoon ground pepper"", ""2 corn tortillas, warmed"", ""2 tablespoons mild salsa verde, warmed"", ""2 tablespoons mild salsa roja, warmed"", ""2 tablespoons sliced red onion"", ""1/4 avocado, sliced"", ""1 tablespoon crumbled cotija or queso fresco"", ""1 1/2 teaspoons chopped fresh cilantro""]","[""Combine beans, water, garlic powder, and onion powder in a small bowl. Microwave on High until warmed, about 30 seconds."", ""Heat oil in a small nonstick skillet over medium heat. Break eggs, one at a time, into the pan; season with pepper. Cover and cook until the eggs are done to your liking, 2 to 3 minutes for over easy."", ""Place warmed tortillas on a plate. Transfer the eggs to the tortillas. Spoon salsa verde around the yolk of 1 egg; repeat with salsa roja and the remaining egg."", ""Top with onion, avocado, cotija (or queso fresco), and cilantro."", ""Serve with the black beans on the side.""]",b3
"""breakfast""","""Blistered Cherry Tomato & Fried Egg Toast""",2,338,"""This recipe is one that our recipe developers turn to quite often. Cherry tomatoes are reliably sweet and readily available year-round. If you don’t have ricotta cheese, you can swap in cottage cheese, Greek yogurt or mascarpone. While we favor runny yolks and like how they coat the toast and tomatoes, hard yolks are just fine too. Simply cook the eggs a minute or two longer.""","[""1/2 cup whole-milk ricotta cheese"", ""2 tablespoons chopped fresh basil, plus leaves for garnish"", ""1 teaspoon grated lemon zest"", ""3/8 teaspoon salt, divided"", ""1 tablespoon extra-virgin olive oil, divided"", ""2 cups cherry tomatoes"", ""2 large eggs"", ""2 slices crusty whole-wheat bread (1/2-inch-thick), toasted"", ""Crushed red pepper for garnish (optional)""]","[""Combine ricotta, basil, lemon zest, and 1/8 teaspoon salt in a medium bowl."", ""Heat 1 1/2 teaspoons oil in a medium nonstick skillet over medium-high heat. Add tomatoes in a single layer; cook, stirring occasionally, until starting to blister, about 5 minutes. Transfer to a medium bowl."", ""Wipe the skillet clean. Heat the remaining 1 1/2 teaspoons oil over medium-low heat. Carefully crack eggs into the pan, leaving space between them. Sprinkle the eggs with 1/8 teaspoon salt. Cover and cook until the whites are just set, about 1 minute, 30 seconds. Uncover and cook until the whites are completely set and the yolks are still runny, about 1 minute, 30 seconds."", ""Spread the reserved ricotta mixture evenly over 1 side of each toast slice (1/4 cup each); spoon the tomatoes over the ricotta mixture (scant 3/4 cup each)."", ""Sprinkle with the remaining 1/8 teaspoon salt. Top each toast with 1 fried egg."", ""Garnish with basil leaves and/or sprinkle with crushed red pepper, if desired.""]",b4
"""breakfast""","""Spinach & Feta Mug Scrambled Eggs""",4,195,"""Whip up eggs with a few simple ingredients in a microwave-safe mug, and you have the makings of a breakfast that’s prepped, seasoned and will be ready to eat in a little more than a minute before running out the door. If you don’t want to store the mixture in individual mugs, you can store it in an airtight container then transfer to a mug when you’re ready to cook it.""","[""8 large eggs"", ""1/4 cup half-and-half"", ""1/2 cup chopped baby spinach"", ""1/4 cup crumbled feta cheese"", ""2 tablespoons chopped fresh dill, plus more for garnish"", ""1/4 teaspoon salt""]","[""Coat 4 (12-ounce) microwave-safe mugs with cooking spray."", ""Crack 2 eggs into each prepared mug. Add 1 tablespoon half-and-half to each; whisk with a fork until completely blended."", ""Add 2 tablespoons spinach, 1 tablespoon feta and 1 1/2 teaspoons dill to each mug, stirring until combined."", ""Sprinkle with salt. Cover and refrigerate for up to 4 days."", ""When ready to eat, uncover a mug and microwave on High, stirring every 15 to 20 seconds, until set, 1 minute and 15 seconds to 1 minute and 25 seconds for large curds (about 1 minute for soft-scramble)."", ""Stir with a fork to create fluffy curds. Sprinkle with additional dill, if desired.""]",b5
"""breakfast""","""Pesto Breakfast Sandwich""",1,585,"""This vibrant green veggie pesto sandwich is the perfect way to get your day started. This 10-minute breakfast features microgreens, which are young vegetable sprouts harvested just after the first true leaves develop. If you can’t find microgreens, alfalfa sprouts or chopped baby lettuce can be used in their place.""","[""1 tablespoon extra-virgin olive oil"", ""1 large egg"", ""2 tablespoons refrigerated basil pesto"", ""1 whole-wheat English muffin, split and toasted"", ""2 ounces sliced avocado (about 6 slices)"", ""3/4 cup microgreens"", ""1/4 teaspoon grated lemon zest"", ""1 teaspoon lemon juice"", ""1/8 teaspoon salt"", ""1/8 teaspoon crushed red pepper""]","[""Heat oil in a small nonstick skillet over medium heat until shimmering, about 1 minute. Carefully crack egg into the pan; cook, undisturbed, until the white is fully set and crispy edges form, 3 to 5 minutes."", ""Meanwhile, spread 1 tablespoon pesto onto each muffin half. Shingle avocado slices on top of 1 muffin half."", ""Toss microgreens, lemon zest, lemon juice, salt, and crushed red pepper together in a small bowl."", ""Place the egg on top of the avocado; top with the microgreen mixture."", ""Top with the remaining muffin half, pesto-side down.""]",b6
"""breakfast""","""Sausage, Spinach & Mushroom Egg Bites""",6,232,"""These protein-packed sausage, spinach and mushroom egg bites are the perfect little breakfast snack to tide you over until your next meal. Keep half the batch in the fridge for the immediate days ahead, and freeze the other half for later in the month when you don’t have time to cook but want a healthy bite to eat.""","[""1 tablespoon canola oil"", ""6 ounces pork breakfast sausage"", ""4 ounces cremini mushrooms, thinly sliced (about 2 cups)"", ""2 cups coarsely chopped baby spinach"", ""8 large eggs"", ""2/3 cup whole milk"", ""1/2 teaspoon ground pepper"", ""1/4 teaspoon garlic powder"", ""1/4 teaspoon onion powder"", ""1/4 teaspoon salt""]","""Preheat oven to 375°F. Coat a 12-cup muffin tin with cooking spray."", ""Heat oil in a large nonstick skillet over medium-high heat. Add sausage; cook, stirring often and breaking into crumbles, until browned and cooked through, about 4 minutes. Using a slotted spoon, transfer the sausage to a paper-towel-lined plate, leaving the drippings in the pan."", ""Reduce heat to medium; add mushrooms and cook, stirring occasionally, until softened and browned in most spots, 6 to 8 minutes. Add spinach; cook, stirring constantly, until wilted, about 30 seconds. Transfer the vegetable mixture to the plate with the sausage. Let cool for 5 minutes."", ""Meanwhile, whisk eggs, milk, pepper, garlic powder, onion powder, and salt in a large bowl until thoroughly blended. Stir in the cooled sausage and mushroom mixture."", ""Divide the mixture among the prepared muffin cups, about 1/4 cup each."", ""Bake, rotating the pan front to back once, until puffed and set, 14 to 16 minutes. Let stand for 5 minutes before removing the egg bites from the pan.""",b7
"""breakfast""","""Avocado Toast with Jammy Eggs""",2,409,"""On those days when you truly cannot be bothered to cook or are short on time, here’s avocado toast with jammy eggs to the rescue. This quick, filling dish can easily slide into breakfast, lunch or even dinner, paired with a side of dressed greens. The “jammy” in jammy eggs refers to yolks that are not runny, but still opaque in the center, yielding a creamy, spreadable texture. If you prefer your yolks fully cooked, simply cook the eggs longer, about 10 minutes total.""","[""2 large eggs"", ""1 medium avocado, halved, peeled, and pitted"", ""2 slices whole-grain bread, toasted"", ""1/4 teaspoon salt, divided"", ""1/4 teaspoon ground pepper, divided"", ""1 tablespoon extra-virgin olive oil"", ""1/4 teaspoon crushed red pepper""]","[""Bring a small saucepan of water to a boil over high heat and set a medium bowl of ice water next to the stove. Gently lower eggs into the boiling water with a spoon; reduce heat as needed to maintain a steady simmer. Simmer, gently stirring occasionally, for 7 minutes. Transfer the eggs to the ice bath; let stand for 2 minutes. Drain the eggs and set aside."", ""Place avocado halves, cut-sides down, on a cutting board. Slice each half lengthwise into about 1/4-inch-thick slices. Use your palm to gently press each half down and to the side to flatten and fan out the slices. Carefully transfer the shingled avocado slices onto toast, placing 1 avocado half onto each slice of toast. Sprinkle with 1/8 teaspoon each salt and pepper."", ""Carefully tap and roll the eggs on a cutting board, pressing down gently to crack the shells. Peel the eggs, discarding the shells; cut each egg lengthwise into quarters. Place 1 quartered egg on top of each piece of avocado toast. Sprinkle with remaining 1/8 teaspoon each salt and pepper. Drizzle with oil and sprinkle with crushed red pepper.""]",b8
"""breakfast""","""Feta, Egg & Spinach Breakfast Taco""",1,225,"""It doesn’t get easier than this healthy breakfast taco that’s ready in just five minutes. Kale or arugula will work just as well if you don’t have spinach on hand. If you want an over-hard egg instead, and notice the egg is browning too quickly, add a tablespoon or two of water to the pan to help steam the egg and set the yolk faster.""","[""1 teaspoon avocado oil or canola oil"", ""1 corn tortilla"", ""1 cup lightly packed baby spinach"", ""1 large egg"", ""2 tablespoons crumbled feta cheese"", ""Hot sauce for garnish (optional)""]","[""Heat oil in a small nonstick skillet over medium heat. Cook tortilla, flipping once, until softened, about 1 minute total; transfer to a plate."", ""Add spinach to the pan; cook, stirring, until just barely wilted, about 1 minute. Transfer to the tortilla."", ""Sprinkle feta in an egg-sized circle in the pan, leaving an open spot in the center. Break egg into the feta. Cover and cook until the egg is done to your liking, about 2 minutes for over easy."", ""Transfer to the spinach and drizzle with hot sauce, if desired.""]",b9
"""breakfast""","""Ham & Spinach Quiche""",6,197,"""This ham and spinach quiche is ideal for any meal, from brunch to dinner and all the moments in between. This quiche skips the crust, making it incredibly easy to pull together even on short notice. Swap out the Cheddar cheese for Gruyère or use Swiss chard in place of the spinach for a slightly different spin.""","[""1 teaspoon extra-virgin olive oil"", ""1 cup chopped sweet onion"", ""1 tablespoon thinly sliced garlic"", ""6 cups baby spinach"", ""6 large eggs"", ""1/2 cup half-and-half"", ""1/8 teaspoon ground nutmeg"", ""4 ounces ham steak, cut into 1/4-inch cubes (about 1 cup)"", ""1 cup shredded sharp Cheddar cheese""]","[""Preheat oven to 375°F. Lightly coat a 9-inch deep-dish pie pan with cooking spray."", ""Heat oil in a large nonstick skillet over medium heat, swirling to coat. Add onion; cook, stirring often, until translucent, 5 to 6 minutes."", ""Stir in garlic; cook, stirring often, until fragrant, about 1 minute."", ""Stir in spinach; cook, stirring often, until wilted, 1 to 2 minutes. Remove from heat; let cool until warm to the touch, about 8 minutes."", ""Whisk eggs, half-and-half and nutmeg in a medium bowl until thoroughly blended. Fold in ham, Cheddar and the cooled spinach mixture."", ""Transfer the mixture to the prepared pie pan."", ""Bake until set and golden brown, about 30 minutes. Let stand for 10 minutes. Slice into 6 portions and serve.""]",b10
